Brewer,Name,Alc,Country,Rating,price
Thisted bryghus,Classic,4.6,denmark,6,
Thisted bryghus,Økologiks Humle,5.8,denmark,7,
Thisted bryghus,Jack & beer,8,denmark,7,
Thisted bryghus,Limfjords porter,7.9,denmark,6,
Thisted bryghus,Limfjordes porter Whisky fad 49,8.5,denmark,8,
Thisted bryghus,Gertrud,7.9,denmark,8,
Thisted bryghus,Øko IPA,5.8,denmark,4,
Thisted bryghus,Pilsner,4.6,denmark,6,
Thisted bryghus,Guld porse,5.8,denmark,7,
Thisted bryghus,Veteranøl,4.9,denmark,8,
Thisted bryghus,Julesten,8,denmark,7,
Thisted bryghus,Julefnug,5.8,denmark,6,
Thisted bryghus,Bock,7,denmark,7,
Guinness,Draught stout,4.2,england,7,
Marstons,Oyster Stout,4.5,england,6,
Carlsberg ,Elefant,7.2,denmark,7,
Carlsberg ,Tuborg mango guld,5.6,denmark,1,
Tuborg,Guldame,5.6,denmark,6,
Tuborg,Rød tuborf,4.3,denmark,8,
Svaneke,Mørk guld,5.7,denmark,8,
Svaneke,Brown ale,5,denmark,8,
Svaneke,Classic,4.6,denmark,6,
Svaneke,Rød jul,5.7,denmark,5,
Svaneke,Craft pilsner øko,4.6,denmark,6,
Wilemoes,Lager,5.5,denmark,2,
Wilemoes,Stout,6,denmark,6,
Wilemoes,Saison,5.7,denmark,7,
Wilemoes,Porter,8.5,denmark,6,
Wilemoes,Brown ale,5.6,denmark,6,
Dansk,Dansk gukd,5.7,denmark,5,
Dansk,Pilsner,4.6,denmark,3,
Erdinger,Dunkel weissbräu,5.3,german,8,
Erdinger,Weisbeer,5.3,german,7,
Schiøtz,Dyvsort,6.2,denmark,6,
Schiøtz,Bohemian Pils,5,denmark,5,
Schiøtz,Mørk Mumme ,6.5,denmark,8,
Halsnæs,Porter,6.5,denmark,6,
Halsnæs,røde ravn,6,denmark,6,
Halsnæs,Store Knud,4.9,denmark,6,
Halsnæs,Dyssekilde,5.8,denmark,6,
Halsnæs,Vådbinder,7.6,denmark,6,
Halsnæs,Storms end,6.8,denmark,6,
Pauliner,Hefe,5,german,6,
Pauliner,Weissbier,5.5,german,6,
Berliner,IPA,7,german,7,
Märkischer Landmann,Dunkel,4.9,german,9,
Biermischgetränk,cola,3.1,german,1,
Czech ,1795,4.7,german,6,
Ørbæk,Dark horse,4.8,denmark,8,
Ørbæk,Ørsted brune,6.5,denmark,5,
Kaiserdom,Dark lager,4.7,german,7,
Kaiserdom,Kellerbier,4.8,german,6,
Jacobsen,Broen ale,6,denmark,7,
Congerlo,Triple ,9,belgian,8,
Mikkeler,Bog worster ,15,denmark,9,
Mikkeler,Black stout,15,denmark,1,
Mikkeler,Santas Lilttie helper,11,denmark,9,
Mercurial,Mælk,12.2,denmark,7,
na,125 år,6.5,denmark,8,
na,mcalmer,7.2,denmark,7,
na,Edderkop ,5.7,denmark,7,
Skovlysten,Julebryg.,5.5,denmark,5,
Baladin,Leön,9,italy,8,
Baladin,Super ,8,italy,7,
Baladin,Nöel,8.5,italy,9,
Trapist Rochefort,Double,7,belgian,7,
Trapist Rochefort,Quadrupel,10,belgian,8,
Trapist Rochefort,Richefort 10,11.3,belgian,10,
Braunstein,Brown Ale ,6,denmark,7,
Braunstein,Julestjerne,7.5,denmark,5,
BB,viking ipa,6,denmark,4,
BB,Porter,7.2,denmark,7,
,dark,6.3,denmark,6,
,RED,5,denmark,5,
Midtfyns brghus,Stout ,7.2,denmark,7,
Bitburger,Primum pils,4.8,german,6,
Faxe,Mørk lager,10,denmark,4,
Refsvindinge ,Kåskade,5.7,denmark,8,
Blance ,1664,5,german,1,
Albini,Amerikansk Lager,5,denmark,4,
Godt bryg,Albani 1859,5.2,denmark,6,
Godt bryg,Horsens lager,4.5,denmark,7,
Godt bryg,Nyborg bayersk pilsner,4.9,denmark,6,
Godt bryg,Carlsminde Jule bryg,7,denmark,8,
Frejdahl,Galar,4.8,denmark,6,
Amager bryghus,Panzer Pils,4.6,denmark,6,
Amager bryghus,Demon juice,7,denmark,1,
Nørrebro bryghus,Ravsborg,5.5,denmark,8,
Frejdahl,Gudmund,7,denmark,8,
König,Köbig Dunkel,5.1,german,8,
König,Weisberg,5.5,german,7,
Innis & Gunn,Bourbon Ba Ale,6.6,usa,4,
Robinson ,Tropper pils,4.7,england,6,
Fur,rynkeby,6.7,denmark,5,
Fur,Pilsner,4.6,denmark,7,
Fur,Vulcano Classic,4.7,denmark,6,
Fur,Schwarzbier,5,denmark,6,
Herreford ,Brown ale,4.9,denmark,8,
Littrup,Hvede ale,4.8,denmark,4,
Christiania,pilsner,4.6,denmark,6,
Cerveza,Cortes,4.5,poland,1,
Budweisser,King of beers (lorte navn),5,usa,2,
Steen brugge,Belgien abbey beer,6.5,belgian,6,
Alfheim,Fjalar,4.8,denmark,5,
Corona,Corona extra,4.5,mexico,4,
Warsteiner,Premium beer,4.8,german,8,
Hansen Braueri,Pilsner,4.5,german,7,
Hansen Braueri,Swarzbier,4.5,german,8,
Tennents,Scottish Beer,6,german,7,
Tennents,Samichlans ,14,german,6,
Aura,Damm,5.4,estonia,3,
Plzeñ,pilsner,4.4,Czech ,6,
Keizer Karl,Ruby red,8.5,belgian,7,
Affligem,Blonde,6.7,belgian,6,
Affligem,Double,6.7,belgian,7,
Skanderborg ,Juleknas Brownale,7,denmark,7,
Skanderborg ,Rød Jul,5.4,denmark,6,
Skanderborg ,Humlesne,6.6,denmark,4,
Skanderborg ,Blå jul,5.2,denmark,6,
Kloster,Svendeøl,5.3,denmark,5,
Raven,Hornbeer,8.7,denmark,7,
Gouden,Carolus Tripel,9,belgian,8,
Vestfyen,Prins Kristian,5.7,denmark,6,
Vestfyen,SouthWorld,7.2,england,6,
Refsvindinge,Skibsøl,2.4,denmark,2,
Refsvindinge,Røde mor,4.6,denmark,3,
Hancock,Dark,9.5,denmark,10,
Hancock,Saaz,8.1,denmark,9,
Hancock,Black lager,5,denmark,8,
Rørvig Brygus,Odsherreds Dark ale,6.2,denmark,6,
Bryghuset solvang,Lys,5.5,denmark,5,
Bryghuset solvang,Gylden,4.5,denmark,6,
na,Tinsoldat ,5.7,denmark,6,
na,Prinsessen på ærten,3.5,denmark,1,
na,Tribute 47,7.7,denmark,7,
na,Corsendonk,7.5,belgian,7,
na,Sct. peter's Chrismats Ale,7,england,6,
na,Krin Ichiban,5,china,4,
To Øl,Brokilde brown,6.5,denmark,6,
Hertog Jan,Triple,8.5,netherland,7,
Nibe,Styrbord,5.5,denmark,6,
Kwak,Amber beer,8.4,belgian,5,
Westmalle,Triple,9.5,belgian,7,
StFeuillien,Quadrupel,11,belgian,7,
Indslev Beyggeri,Svane,5.3,belgian,7,
Indslev Beyggeri,Tongerlo,8,belgian,9,
Indslev Beyggeri,Tripel ,9,belgian,7,
,Pokal Classic,4.6,denmark,3,4.25
,Calrsberg pils.,4.6,denmark,7,06.25
,Dansk guld,5.7,denmark,7,04.25
,Dansk pilsner,4.6,denmark,9,2
,Bruatlis,7.7,denmark,10,7.25
,Humleby ekstra strong,8,denmark,4,7
,Black bird,4.8,denmark,6,
,Den søde julegås,7.8,denmark,7,
,Stærke Julius,8.5,denmark,8,
,Brun sovs ,4.8,denmark,3,
,Streng ale,7,denmark,7,
,Ale No. 24,6.5,denmark,7,
,Leffe noel,6.6,denmark,7,
